,country,confirmed,deaths,recovered,active,population
78,Kazakhstan,1.078688874653,0.0147608370702541,0.943700619261157,0.120227418321589,18732000.0
79,Kenya,0.180492452548199,0.0031404124943954,0.147216410103124,0.03013562995068,53528000.0
80,Kiribati,,,,,125000.0
81,"Korea, North",,,,,25779000.0
82,"Korea, South",0.120880245649949,0.001819200092698,0.0841582819953265,0.0349027635619243,51781000.0
83,Kuwait,3.21613728416116,0.0199531016840759,3.12890641654232,0.0672777659347687,4691000.0
84,Kyrgyzstan,1.23075523202912,0.0205641492265696,1.15480740066727,0.0553836821352745,6594000.0
85,Lao People's Democratic Republic,0.0005661419497376,0.0,0.0005523336095001,1.38083402375035e-05,7242000.0
86,Latvia,2.18796004206099,0.0338590956887487,1.52565720294427,0.62844374342797,1902000.0
87,Lebanon,2.69432967032967,0.0216703296703297,1.87485714285714,0.797802197802198,6825000.0
88,Lesotho,0.149673202614379,0.0023809523809523,0.0698412698412698,0.0774509803921569,2142000.0
89,Liberia,0.0351720047449585,0.0016409648082245,0.0277975484381178,0.005733491498616,5058000.0
90,Lithuania,5.15042949176807,0.0568718682891911,2.54216177523264,2.55139584824624,2794000.0
91,Luxembourg,7.34414556962025,0.0783227848101266,6.48386075949367,0.781962025316456,632000.0
92,Madagascar,0.0639702430392546,0.0009425445090462,0.0622151601603409,0.0008125383698674,27691000.0
93,Malawi,0.0349398849973863,0.0009984317825405,0.0298379508625196,0.0041035023523261,19130000.0
94,Malaysia,0.351050913638998,0.0014459595497391,0.278121472804368,0.0714834812848906,32781000.0
95,Maldives,2.55157116451017,0.0088724584103512,2.43068391866913,0.112014787430684,541000.0
96,Mali,0.0355686138956101,0.001338205520715,0.0231791022665547,0.0110513061083403,20251000.0
97,Malta,2.47298850574713,0.0419540229885058,2.14137931034483,0.289655172413793,522000.0
98,Mauritania,0.313569892473118,0.007505376344086,0.25058064516129,0.0554838709677419,4650000.0
99,Mauritius,0.0416600790513834,0.000790513833992,0.0392094861660079,0.0016600790513834,1265000.0
100,Mexico,1.12462830224114,0.098994459747089,0.848071866783523,0.17756197571053,127792000.0
101,Mongolia,0.0369532877119905,2.9753049687593e-05,0.025438857482892,0.0114846771794109,3361000.0
102,Montenegro,7.81173633440515,0.109967845659164,6.23472668810289,1.46704180064309,622000.0
103,Morocco,1.2265520694259,0.0206525367156208,1.13940253671562,0.0664969959946596,35952000.0
104,Mozambique,0.0603028941795546,0.0005358403388307,0.0535198613874094,0.0062471924533145,31166000.0
105,Myanmar,,,,,54704000.0
106,Namibia,0.965958284140102,0.0081857536402991,0.815702479338843,0.14207005116096,2541000.0
107,Nepal,0.870179357247633,0.0062141618882517,0.843802507000934,0.0201626883584478,29996000.0
108,Netherlands,4.67519322150341,0.0665483483139635,0.0552527623518635,4.55339211083758,17467000.0
109,New Caledonia,,,,,295000.0
110,New Zealand,0.0433527170643674,0.0005013033888109,0.0417485462201724,0.001102867455384,4987000.0
111,Nicaragua,0.0916616130988478,0.0025015160703456,0.0640539721043056,0.0251061249241965,6596000.0
112,Niger,0.0140683781884328,0.0004382157178882,0.0075571540783,0.0060730083922444,24189000.0
113,Nigeria,0.0429741922964975,0.0006277287280488,0.0360788784321335,0.0062675851363151,206140000.0
114,North Macedonia,4.02610576923077,0.120673076923077,2.97802884615385,0.927403846153846,2080000.0
115,Norway,0.924503434193429,0.0080935585669203,0.334100612585855,0.582309263040653,5387000.0
116,Oman,2.73428813918948,0.0318056439635052,2.58625079567155,0.116231699554424,4713000.0
117,Pakistan,0.21922784466371,0.0046428894722549,0.198684710781208,0.0159002444102471,220940000.0
118,Panama,5.83079617090824,0.0948867616156899,4.62124678963343,1.11466261965912,4283000.0
119,Paraguay,1.49343900758098,0.0311784975878704,1.12993797381116,0.332322536181944,7255000.0
120,Peru,3.09266695101146,0.114794053131855,2.89823909334633,0.0796338045332683,32824000.0
121,Philippines,0.434217610717186,0.0084394192423869,0.401433642693533,0.0243445487812668,109581000.0
122,Poland,3.40328919933278,0.0754691409507923,2.72696257297748,0.600857485404504,38368000.0
123,Portugal,4.10169673330083,0.0679863481228669,3.30246708922477,0.731243295953194,10255000.0
124,Republic of Moldova,4.10913719943423,0.084978783592645,3.72562942008487,0.298528995756719,3535000.0
125,Romania,3.30648614936854,0.0823294007587963,2.94353204095421,0.280624707655527,19241000.0
126,Russian Federation,2.14945513279221,0.0387084023362161,1.74021317631344,0.370533554142558,146733000.0
127,Rwanda,0.0653180975911056,0.0007257566399011,0.0509419394688079,0.0136504014823965,12952000.0
128,Saint Kitts and Nevis,0.0592592592592593,0.0,0.0537037037037037,0.0055555555555555,54000.0
129,Saint Lucia,0.193956043956044,0.0027472527472527,0.158791208791209,0.0324175824175824,182000.0
130,Saint Vincent and the Grenadines,0.109009009009009,0.0,0.0882882882882883,0.0207207207207207,111000.0
131,Samoa,0.001,0.0,0.001,0.0,200000.0
132,Sao Tome and Principe,0.486666666666667,0.008095238095238,0.463333333333333,0.0152380952380952,210000.0
133,Saudi Arabia,1.03558117633629,0.017779172968808,1.01047629919237,0.0073257041751091,35041000.0
134,Senegal,0.115647396082179,0.0024486383182035,0.103768514094601,0.0094302436693741,16744000.0
135,Serbia,4.88712088543913,0.0467155383067414,0.0,4.84040534713238,6957000.0
136,Sierra Leone,0.0330324683464962,0.0009527391249843,0.0238936943713175,0.0081860348501943,7977000.0
137,Slovakia,3.37803002563164,0.0411937019406811,2.32863419992677,1.00820212376419,5462000.0
138,Slovenia,5.89396100808369,0.129719448407038,4.7963861150737,0.967855444602948,2103000.0
139,Solomon Islands,0.0023776223776223,0.0,0.0006993006993006,0.0009790209790209,715000.0
140,South Africa,1.80097772858389,0.0484453612396861,1.48873180385054,0.263800563493661,59628000.0
141,Spain,4.04800041985935,0.106721948147371,0.31568384591162,3.62559462580036,47635000.0
142,Sri Lanka,0.199917946847791,0.0009481697588549,0.16481287322788,0.0341569038610567,21937000.0
143,Sudan,0.0531733904992132,0.003347852858674,0.0308422084882209,0.0189833291523182,43849000.0
144,Suriname,1.03752066115702,0.0203305785123967,0.953884297520661,0.0633057851239669,605000.0
145,Sweden,4.21488869615496,0.0840994507082972,0.0,4.13078924544666,10377000.0
146,Switzerland,5.2385452860783,0.0892286309937457,3.67848042622191,1.47083622886264,8634000.0
147,Taiwan*,0.0033968657348581,2.96484540448962e-05,0.0028886065226598,0.0004786107581533,23610000.0
148,Tajikistan,0.141011772192173,0.0009545020680878,0.136748329621381,0.0033089405027044,9429000.0
149,Thailand,0.0110905702347672,9.6191420927646e-05,0.0064613581026242,0.0045330207112153,66534000.0
150,Timor-Leste,0.0033383915022761,0.0,0.0024279210925644,0.0009104704097116,1318000.0
151,Togo,0.0442323952168136,0.0008213552361396,0.0415871482063051,0.0018238917743688,8279000.0
152,Trinidad and Tobago,0.522863403944485,0.0092768444119795,0.487289992695398,0.0262965668371074,1369000.0
153,Tunisia,1.18154841963685,0.0397612642905178,0.886844317417619,0.254942837928716,11896000.0
154,Turkey,2.65217884567157,0.0251895816664079,2.52547858175,0.101510682255156,83737000.0
155,Turkmenistan,,,,,6031000.0
156,Uganda,0.0776349445792615,0.0005793489429614,0.0259679499792309,0.0510876456570692,45741000.0
157,Ukraine,2.6254368327828,0.0465244865718799,1.78725645076356,0.791655895447365,41778000.0
158,United Arab Emirates,2.1443853548783,0.0068623440376355,1.90242380854981,0.235099202290857,9778000.0
159,United Kingdom,3.79643984514592,0.110537522334723,0.0084559261465157,3.67744639666468,67160000.0
160,United Republic of Tanzania,0.0008521110255465,3.51558576355175e-05,0.0003063581879666,0.0005105969799444,59734000.0
161,United States of America,6.10185977846355,0.105429279915605,0.0,5.99643049854795,329878000.0
162,Uruguay,0.559416595865194,0.0054658736901727,0.396205041064854,0.157745681110167,3531000.0
163,Uzbekistan,0.225850061450225,0.0017966875402352,0.220179083513782,0.0038742903962076,34174000.0
164,Vanuatu,0.0003115264797507,0.0,0.0003115264797507,0.0,321000.0
165,Venezuela (Bolivarian Republic of),0.397570256589283,0.0035957409670099,0.376683539884797,0.017290975737476,28645000.0
166,Vietnam,0.0015320811982247,3.63791329293517e-05,0.0013772100323254,0.0001184920329698,96209000.0
167,Yemen,0.0070441896332059,0.0020451954670421,0.0046804801180178,0.0003185140481459,29826000.0
168,Zambia,0.114213446475196,0.002121409921671,0.102115970409051,0.0099760661444734,18384000.0
169,Zimbabwe,0.0947587970127161,0.0024826750992397,0.0763439413308215,0.0159321805826549,14863000.0
